prod_name,Collection,supplier,brand,color,pattern,category,cat_name,link,image,style,style
GE3688,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,BEIGE,WHITE,ashford geometrics,ashford,#,/images/ashford/GE3688.jpg,ABC,XYZ
GE3696,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,BEIGE,WHITE,ashford geometrics,ashford,#,/images/ashford/GE3696.jpg,ABC,XYZ
GE3689,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,GREY,WHITE,ashford geometrics,ashford,#,/images/ashford/GE3689.jpg,ABC,XYZ
GE3697,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,GREY,WHITE,ashford geometrics,ashford,#,/images/ashford/GE3697.jpg,ABC,XYZ
GE3690,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,BLUE ,BLACK,ashford geometrics,ashford,#,/images/ashford/GE3690.jpg,ABC,XYZ
GE3698,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,WHITE,BLUE,ashford geometrics,ashford,#,/images/ashford/GE3698.jpg,ABC,XYZ
GE3691,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,WHITE,GOLD,ashford geometrics,ashford,#,/images/ashford/GE3691.jpg,ABC,XYZ
GE3699,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,WHITE,GOLD,ashford geometrics,ashford,#,/images/ashford/GE3699.jpg,ABC,XYZ
GE3692,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,WHITE,GREY,ashford geometrics,ashford,#,/images/ashford/GE3692.jpg,ABC,XYZ
GE3700,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,WHITE,GREY,ashford geometrics,ashford,#,/images/ashford/GE3700.jpg,ABC,XYZ
